	id	week	value
692	KPI35	16	238.0
693	KPI36	16	95.0
694	KPI37	16	0.9824561403508771
695	KPI38	16	0.21205007824726135
696	KPI39	16	0.9973333333333333
697	KPI40	16	0.85
698	KPI41	16	1.0
699	KPI42	16	0.7483787049484668
700	KPI43	16	1.0
701	KPI44	16	82.0
702	KPI45	16	0.9596576678488453
703	KPI46	16	203.0
704	KPI01	17	0.9787234042553191
705	KPI02	17	1.0
706	KPI03	17	0.9622641509433962
707	KPI47	17	0.9
708	KPI48	17	34853.0
709	KPI04	17	135443.0
710	KPI05	17	24509.0
711	KPI06	17	0.0
712	KPI08	17	0.038280725319006045
713	KPI09	17	8742.0
714	KPI10	17	0.0
715	KPI11	17	5.0
716	KPI12	17	0.9964964964964965
717	KPI13	17	0.8009794073329984
718	KPI15	17	0.8285714285714286
719	KPI16	17	0.0
720	KPI17	17	4117.0
721	KPI18	17	17760.0
722	KPI19	17	0.0
723	KPI20	17	0.0
724	KPI21	17	0.9429562294820016
725	KPI22	17	1.0
726	KPI25	17	7727.0
727	KPI26	17	1389.0
728	KPI27	17	1.0
729	KPI28	17	0.9933251114002404
730	KPI29	17	231.0
731	KPI30	17	505.0
733	KPI32	17	0.9807339003922936
734	KPI33	17	1.6503125
735	KPI34	17	0.0
736	KPI35	17	182.0
737	KPI36	17	134.0
738	KPI37	17	0.9629629629629629
739	KPI38	17	0.35661764705882354
740	KPI39	17	0.990751879699248
741	KPI40	17	1.0
742	KPI41	17	1.0
743	KPI42	17	0.719272528594143
744	KPI43	17	1.0
745	KPI44	17	80.0
746	KPI45	17	0.9504814597787723
747	KPI46	17	160.0
748	KPI01	18	0.9714285714285714
749	KPI02	18	0.9
750	KPI03	18	0.9318181818181818
751	KPI47	18	1.0
752	KPI48	18	13191.0
753	KPI04	18	75866.0
754	KPI05	18	24729.0
755	KPI06	18	0.0
756	KPI08	18	0.0
757	KPI09	18	5293.0
758	KPI10	18	0.0
759	KPI11	18	4.0
760	KPI12	18	0.9981575310916628
761	KPI13	18	0.9838486386709737
762	KPI15	18	0.0
763	KPI16	18	0.0
764	KPI17	18	0.0
765	KPI18	18	16929.0
766	KPI19	18	0.0
767	KPI20	18	0.0
768	KPI21	18	0.9852051109616677
769	KPI22	18	1.0
770	KPI25	18	4920.0
771	KPI26	18	1745.0
772	KPI27	18	1.0
773	KPI28	18	0.9985274477754744
774	KPI29	18	295.0
775	KPI30	18	591.0
777	KPI32	18	0.9583641638185171
778	KPI33	18	1.9025
779	KPI34	18	0.0
780	KPI35	18	
781	KPI36	18	
782	KPI37	18	
783	KPI38	18	0.09386973180076628
784	KPI39	18	0.9912280701754387
785	KPI40	18	0.9333333333333332
786	KPI41	18	1.0
787	KPI42	18	0.43258080104014934
788	KPI43	18	1.0
789	KPI44	18	81.0
790	KPI45	18	0.9917294115701643
791	KPI46	18	145.0
792	KPI01	19	0.9302325581395349
793	KPI02	19	0.9565217391304348
794	KPI03	19	0.9642857142857143
795	KPI47	19	0.9090909090909091
796	KPI48	19	9032.0
797	KPI04	19	84876.0
798	KPI05	19	25414.0
799	KPI06	19	0.0
800	KPI08	19	0.0
801	KPI09	19	6431.0
802	KPI10	19	0.0
803	KPI11	19	4.0
804	KPI12	19	0.9955822583495317
805	KPI13	19	0.7374866879659212
806	KPI15	19	0.0
807	KPI16	19	0.0
808	KPI17	19	0.0
809	KPI18	19	16354.0
810	KPI19	19	0.0
811	KPI20	19	0.0
812	KPI21	19	0.9891145483911065
813	KPI22	19	1.0
814	KPI25	19	5636.0
815	KPI26	19	4189.0
816	KPI27	19	1.0
817	KPI28	19	0.9769668183917145
818	KPI29	19	319.0
819	KPI30	19	619.0
821	KPI32	19	0.9764249423747632
822	KPI33	19	1.425625
823	KPI34	19	0.0
824	KPI35	19	
825	KPI36	19	
826	KPI37	19	
827	KPI38	19	0.26475849731663686
828	KPI39	19	0.9832287933094385
829	KPI40	19	1.0
830	KPI41	19	1.0
831	KPI42	19	0.5793268822680588
832	KPI43	19	1.0
833	KPI44	19	86.0
834	KPI45	19	0.9346396082305325
835	KPI46	19	
836	KPI01	20	1.0
837	KPI02	20	0.972972972972973
838	KPI03	20	0.9722222222222222
839	KPI47	20	0.9
840	KPI48	20	4042.0
841	KPI04	20	84631.0
842	KPI05	20	17970.0
843	KPI06	20	
844	KPI08	20	0.0
845	KPI09	20	4987.0
846	KPI10	20	
847	KPI11	20	13.0
848	KPI12	20	0.9964379452568429
849	KPI13	20	0.8551269990592663
850	KPI15	20	0.0
851	KPI16	20	
852	KPI17	20	2134.0
853	KPI18	20	18151.0
854	KPI19	20	
855	KPI20	20	
856	KPI21	20	0.7993856578453019
857	KPI22	20	1.0
858	KPI25	20	4642.0
859	KPI26	20	2385.0
860	KPI27	20	1.0
861	KPI28	20	0.9879624393620879
862	KPI29	20	23.0
863	KPI30	20	634.0
864	KPI31	20	4113.0
865	KPI32	20	0.957209633746615
866	KPI33	20	1.595
867	KPI34	20	0.0
868	KPI35	20	133.0
869	KPI36	20	124.0
870	KPI37	20	0.9846153846153847
